자치구,거리,소요시간,교통편,코스레벨,설명,세부코스
관악구,1.3km,30분,"진입로 : 서울대학교 버스 정류장(21-127) 간선(파랑) 501, 506, 지선(초록) 6515, 5511, 5513, 5515, 5516, 5517, 5528, 6512, 6513, 6514<br />  관악산 등산로 입구에서 도보로 약 1.5km를 이동하면 관악산 자락길(무장애숲길)에 진입할 수 있다<br />  ※지하철 2호선 서울대입구역 3번 출구 버스정류장 서울대입구역(21-330)에서 지선버스 5511, 5513, 5515탑승 서울대학교(21-127)에서 하차<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ",1,관악구 관악산 내에 위치한 자락길로 전체구간이 완만하여 누구나 이용가능한 노선으로 보행약자를 위해 무장애로 조성하였다 1.3km로 30분이면 노선을 통과할 수 있으며 대체적으로 완만하며 낮은 코스로 진행이 된다. 서울대학교 버스정류장에서 관악산 등산로 입구를 통하여 제2광장 화장실 부근에 도착하면 관악산자락길(무장애숲길)구간이 시작된다.<br /> ※안내표지판은 ‘무장애숲길’로 표기, 제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터
"종로구,중구",1.8km, 1시간,"출발지 : 동대문역(1ㆍ4호선) 6번, 7번 출구 → 흥인지문<br /> 진입로 : 동대문역사문화공원역(2,4,5호선) 3번출구 → 도보5분 → 광희문<br /> 도착지 : 동대입구역(3호선) 5번 출구 → 장충체육관   ",1," 흥인지문에서 광희문을 지나 장충체육관까지 이어지는 구간이다. 흥인지문 일대는 도성 안에서 가장 지대가 낮아 성 안의 물이 이곳으로 흘러들어 수문(오간수문?이간수문)으로 빠져 나갔고, 하도감? 염초청?훈련원 등의 군사시설도 밀집했다. 대한제국 시기에는 전차개설로, 일제강점기에는 도로 건설과 경성운동장 건설 등으로, 해방 후에는 도로 확장과 주택 건설 등으로 인해 흥인지문에서 장충동에 이르는 성벽 대부분이 철거?훼손되었다. 현재 이간수문은 원 위치에 정비되어 있고, 하도감 유구는 동대문역사문화공원 안으로 이전되어 전시 중이다. 주변의 동대문디자인플라자?동대문시장?평화시장?방산시장 등에서는 쇼핑도 즐길 수 있다.<br /> ※광희문에서 장충체육관 방면으로 가는 길은 민가 지역이니 조용히 걷는 배려가 필요하다.<br /> ※자세한 사항은 한양도성 홈페이지(<A HREF='http://seoulcitywall.seoul.go.kr'>http://seoulcitywall.seoul.go.kr</A>)에서 확인하실 수 있습니다.", 흥인지문-동대문역사문화공원(옛 동대문운동장 터)-광희문-장충체육관
종로구,4km, 2시간 30분,"출발지  <br /> ㆍ서대문역(5호선) 4번 출구 → 도보 7분 → 돈의문 터?강북삼성병원<br /> ㆍ시청역(1,2호선) 2번 출구 → 도보 20분 → 돈의문 터?강북삼성병원<br /> ㆍ간선 101, 710, 470, 471, 704, 720, 601, N37(서대문역사거리)<br /> ㆍ종로05(강북삼성병원)<br />  도착지 : 경복궁역(3호선) 3번출구 → 경복궁역 정류장 → 지선버스 7022, 7012, 1020번(자하문고개.윤동주시인의언덕)  ",2," 돈의문 터에서 시작해 인왕산을 넘어 윤동주 시인의 언덕까지 이어지는 구간이다. 해발 338m인 인왕산은 풍수상 우백호(右白虎)에 해당한다. 거대한 바위들이 노출되어 있는 바위산으로 치마바위, 선바위, 기차바위 등 기암괴석이 많다. 인왕(仁王)은 불교식 명칭으로, 무학대사가 이 산을 주산으로 삼으면 불교가 융성할 것이라고 하였다는 이야기가 전한다. 1968년 1?21 사태 이후 민간인 출입이 통제되다가 1993년 개방되었다.<br /> ※인왕산은 바위 구간이 많아서 겨울철 등산 시에 주의해야 한다. (인왕산으로 진입하면 화장실이 없으므로 출발 전 미리 다녀오는 것이 좋다.<br /> ※매주 월요일 휴무, 월요일이 공휴일인 경우 화요일 휴무<br />  ※자세한 사항은 한양도성 홈페이지(<A HREF='http://seoulcitywall.seoul.go.kr'>http://seoulcitywall.seoul.go.kr</A>)에서 확인하실 수 있습니다.",돈의문 터-인왕산 정상-윤동주 시인의 언덕-창의문
중구,1.8km, 1시간,"출발지<br /> ㆍ서울역 (1,4호선) 4번출구 → 도보 10분 → 숭례문<br /> ㆍ시청역 (1,2호선) 8번출구 → 도보 12분 → 숭례문<br /> ㆍ회현역 (4호선) 5번출구 → 도보 5분 → 숭례문<br /> 도착지<br /> ㆍ서대문역(5호선) 4번 출구 → 도보 7분 → 돈의문 터?강북삼성병원<br /> ㆍ시청역(1,2호선) 2번 출구 → 도보 20분 → 돈의문 터?강북삼성병원 ",1," 백범광장에서 숭례문을 지나 돈의문 터까지 이어지는 구간이다. 한양도성의 정문인 숭례문은 한강과 도성을 최단거리로 잇는 문이어서 사람과 물자의 통행도 가장 많았다. 상업이 발달한 조선 후기에는 문 밖에 칠패시장, 문 안 선혜청 창고 앞에 남대문 조시(朝市)가 만들어졌다. 이중 칠패시장은 종루, 이현(梨峴)의 시장과 함께 ‘도성삼대시(都城三大市)’로 꼽혔으며, 남대문 조시는 오늘날의 남대문시장으로 이어졌다. 서구(西歐) 각국과 통상조약을 체결하고 서울을 개방한 이후에는 남대문 인근의 정동에 각국 공사관(公使館)과 외교관 사택, 선교사들이 세운 교회와 학교들이 들어섰다. 1899년 전차가 개통됨에 따라 숭례문은 더 이상 문의 구실을 못하게 되었고, 1907년에는 교통 불편을 해소한다는 명목으로 숭례문 양쪽 성벽이 철거되었다. 이후에도 남대문로 주변에 대형 건축물이 들어설 때마다 성벽이 철거되어 숭례문 주변에서는 옛 성벽을 찾아보기 어렵다. 현재 숭례문 구간에서 한양도성의 흔적을 발견할 수 있는 곳은 세 군데 있다. 밀레니엄 서울힐튼과 SK남산빌딩 뒤쪽의 성벽, 대한?서울상공회의소에서 올리브 타워로 이어지는 길가에 성벽 일부가 담장처럼 남아있으며, 창덕여자중학교 담장 아랫부분에서 50m 정도의 성벽을 볼 수 있다. <br /> ※숭례문-연중상설(월요일 휴무) 관람시간 09:00~18:00, 여름철(6월~8월) 09:00~18:30, 겨울철(11월~2월) 09:00~17:30 <br /> ※숭례문 구간은 성곽의 자취를 찾기 쉽지 않으므로 순성길에 대한 사전학습이 필요하다.<br /> ※자세한 사항은 한양도성 홈페이지(<A HREF='http://seoulcitywall.seoul.go.kr'>http://seoulcitywall.seoul.go.kr</A>)에서 확인하실 수 있습니다.",백범광장-남대문시장-숭례문-돈의문터 강북삼성병원
종로구,4.70km,3시간,"출발지 : 경복궁역(3호선) 3번 출구 →지선(초록)버스 7212, 1020,7022번 버스(자하문고개.윤동주시인의언덕)→ 도보 2분→창의문<br />  도착지<br /> ㆍ한성대입구역(4호선) 5번 출구 → 도보 5분 → 혜화문<br /> ㆍ혜화역(4호선) 4번  출구 → 도보 15분 → 혜화문 ",2," 창의문에서 백악을 넘어 혜화문에 이르는 구간이다. 백악(북악산, 342m)은 옛 서울의 주산으로 내사산 중 가장 높다. 공극산(拱極山), 면악(面岳)이라고도 하였으며 산세가 ‘반쯤 핀 모란꽃’에 비유될 만큼 아름답다. 한양도성은 백악을 기점으로 축조되었다. 1968년 1?21 사태 이후 40년 가까이 출입이 제한되다가 2007년부터 시민에게 개방되었다.<br />  ※매주 월요일 휴무, 월요일이 공휴일인 경우 화요일 휴무 여름철(3월~10월) 09:00~16:00, 겨울철(11월~2월) 10:00~15:00<br /> ※창의문 ? 숙정문 ? 말바위 안내소 입장 시 반드시 신분증을 지참해야 한다.<br />  어른 : 주민등록증, 운전면허증, 국가유공자증, 공무원증, 여권, 국제운전면허증 (사진, 복사본일 경우 입산하실 수 없습니다.)<br /> 미성년자 : 보호자 동반하에 입산 가능 <br /> 문의 : 한국문화재재단 02-730-9924<br /> 일부 지역은 사진촬영이 제한될 수 있다. 출발하면 약 2시간 동안 화장실이 없으므로 미리 다녀오는 것이 좋다. <br /> ※자세한 사항은 한양도성 홈페이지(<A HREF='http://seoulcitywall.seoul.go.kr'>http://seoulcitywall.seoul.go.kr</A>)에서 확인하실 수 있습니다.", 창의문 - 숙정문 - 말바위 안내소 - 와룡공원 - 혜화문
중구,4.2km,3시간,"출발지 : 동대입구역(3호선) 5번 출구 → 장충체육관<br /> 진입로 : 지하철 3호선 동대입구역 6번 출구에서 02,03,05번 남산순환버스 탑승 국립극장, 남산북측순환로 입구, 남산N서울타워 하차<br /> 도착지 : 백범광장   ",2," 장충체육관 뒷길에서 남산공원까지 이어지는 구간이다. 남산(목멱산, 해발 243m)은 서울의 안산(案山)에 해당하여 조선 초기부터 국태민안(國泰民安)을 비는 국사당을 이 산에 두었다. 또 정상에는 변방의 변란을 알리는 봉수대를 설치하여 궁궐에서 직접 살필 수 있게 하였다. 한강 남북을 포괄하는 현재 남산은 서울의 행정구역상 중심부에 해당하며 정상 부근에는 서울의 지리적 중심임을 표시하는 ‘서울 중심점’이 설치되어 있다. 1921년부터 1925년까지 일제가 남산 중턱에 조선신궁을 지으면서 주변 성벽을 대부분 파괴했으나 1970년대 이후의 성곽 보존 ? 정비 사업과 1990년대 중반 남산 제 모습 찾기 사업을 통해 현재는 옛 모습을 상당 부분 회복하였다.<br /> ※남산-24시간 개방 (신라호텔~반얀트리클럽, 스파서울 안쪽 구간 09:00~18:00)<br /> ※장충체육관 뒷길은 주택 지역이므로 주민들에게 피해가 가지 않도록 배려가 필요하다.<br /> ※자세한 사항은 한양도성 홈페이지(<A HREF='http://seoulcitywall.seoul.go.kr'>http://seoulcitywall.seoul.go.kr</A>)에서 확인하실 수 있습니다.", 장충체육관-국립극장-N서울타워-남산 팔각정-백범광장
"성북구,종로구",2.1km,1시간,"출발지 : 한성대입구역(4호선) 4번출구 → 도보3분 → 혜화문 <br />  도착지 : 동대문역(1ㆍ4호선) 6번, 7번 출구 → 흥인지문<br />  진입로 : 혜화역(4호선) 2번출구 → 도보20분 → 낙산공원 공원입구 → 도보5분 → 낙산정상 ",1," 혜화문에서 낙산을 지나 흥인지문까지 이어지는 구간이다. 낙산(126m)은 서울의 좌청룡에 해당하는 산으로 내사산 중 가장 낮다. 생긴 모양이 낙타 등처럼 생겨 낙타산, 타락산이라고 부르기도 하였다. 낙산 구간은 경사가 완만하여 산책하듯 걷기에 적당하다. 특히 가톨릭대학 뒤편 길을 걷다보면 축조 시기별로 성돌의 모양이 어떻게 다른지를 볼 수 있다.<br /> ※장수마을과 이화마을을 지날 때에는 주민들에게 피해가 가지 않도록 주의하는 배려가 필요하다.<br /> ※자세한 사항은 한양도성 홈페이지(<A HREF='http://seoulcitywall.seoul.go.kr'>http://seoulcitywall.seoul.go.kr</A>)에서 확인하실 수 있습니다.",혜화문-낙산공원 놀이마당-이화마을-흥인지문
서대문구,7km,2시간 ,"진입로1 : 지하철 3호선 독립문역 5번 출입구 <br /> 진입로2 : 서대문구청서대문보건소 버스정류장(13-156) 일반 567 간선 110A, 153 지선 7017, 7713, 7720, 7738, 8774 <br /> ※서대문구청 뒤편으로 이동하여 진입할 수 있다<br /> - 지하철 3호선 홍제역 3번 출구 홍제역 버스 정류장(13-125)에서 지선버스 7713, 7738탑승 가능<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ",1,"서대문구 안산 자락길은 7㎞ 길이의 전국 최초의 순환형 무장애 자락길로 장애인, 노약자, 어린이 등 보행약자는 물론 휠체어, 유모차도 쉽게 숲을 즐길 수 있는 숲길이다. 안산 자락길은 구간별로 아까시숲, 메타세콰이아숲, 가문비나무숲 등 다양한 숲을 즐길 수 있으며 동서남북 방향에 따라 한강, 인왕산, 북한산, 청와대 등 다양한 조망을 즐길 수 있다. 또한 안산 자락길 주변에는 서대문독립공원과 형무소, 그리고 조선시대 세종때 만들어진 봉수대, 신라 진성여왕 시기에 창건된 봉원사 등 역사적인 명소가 가득하다. 안산 자락길은 안산을 둘러싼 순환형 자락길로 2호선 신촌역과 3호선 홍제역, 무악재역, 독립문역과 가까워 접근이 매우 용이하다.<br /> ※봄에는 울창한 숲길을 걸을 수 있는 명품 숲길이며, 조망이 특히 좋다.",
종로구,2.5km,1시간,진입로 : 지하철 3호선 경복궁역 1번출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ,1,"종로구 인왕산 내에 위치한 자락길로 전체구간이 완만하여 누구나 이용가능한 노선으로 보행약자를 위해 무장애로 조성하였다. 사직근린공원(사직단), 수성동계곡, 청운공원등이  연접하며, 북악산 한양도성탐방로, 백사실계곡, 북악산길 산책로와도 가까운 지리적 요건을 갖는다. 주택가, 학교, 복지시설에서 접근이 용이하며 3호선 경복궁역과 다양한 버스 노선 등으로 인해 접근이 용이하다. ",인왕산
양천구,4.6km,2시간30분,"진입로 : 금옥중.금옥여고.백암고등학교 버스 정류장(15-309) 지선버스6516,6657,6716,6614,6620,6640,6623 직행 700 <br />   - 지하철 2호선 신정네거리역 1번 출구 신정네거리역 버스 정류장(15-303)에서 6716탑승 후 금옥중.금옥여고.백암고등학교 버스정류장에서 하차 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ",1,"신정산 자락길은 양천구 계남근린공원 내에 위치하며 1,023m의 무장애숲길이 조성되어 있다. 계남근린공원을 크게 한바퀴를 돌 수 있는 코스로 이루어져있으며 대체적으로 완만한 지형으로 이루어져있어 특별한 트래킹요령이 필요치 않다. 또한 근린공원 내에 시설이 다양하게 분포됨에 따라 이용하기 편리하다. 신정산 자락길은 2호선 신정네거리역으로 접근가능하며 주택가와 초,중,고등학교가 인접하며 어려움없이 이용이 가능하다. 또한 남쪽으로 시립고척도서관이 위치하여 도서관과의 연계도 수월하다.",신정산
